,degree,betweenness,eigenvector
ASJL,9.0,0.0004821271574563287,0.0010081954025428263
RIMR,73.0,0.010309227980580326,0.07139480850325833
AUAR,37.0,0.008616523307792856,0.02782376013357818
AVDR,129.0,0.04521237088556671,0.22722771914275103
SMBVR,28.0,0.00019376768453241569,0.010506075480560107
AVDL,112.0,0.02806895906949035,0.22013550597747134
AINL,19.0,0.001525082408247465,0.004359807059713529
SMBVL,32.0,0.00023025044384604473,0.0128929462926017
ASJR,22.0,0.0,0.003053212938103647
AINR,23.0,0.0034582186788010344,0.0055783260910550435
SIADR,5.0,0.00022623346153161002,0.0020850624603255406
AVL,56.0,0.015103278139854761,0.034226088521342096
RICL,54.0,0.005713644727617401,0.06421217471255455
AIAR,65.0,0.0012418747457151112,0.022786360534913327
SMBDR,28.0,0.007671824946442525,0.016387412077536568
AIZR,76.0,0.008869927068194925,0.039360015189364765
SIAVL,8.0,0.0007353861580632624,0.0021673186878628705
SIAVR,9.0,0.0002019423348095094,0.0019788857810379237
RICR,50.0,0.007441102705260315,0.05649403286520483
AIZL,116.0,0.006458582413792713,0.047147886170641425
AIYR,65.0,0.001867225018212871,0.014588787892388414
AIMR,24.0,0.0028210753478188355,0.00768447064872477
AIML,28.0,0.0065874251593481285,0.016676617831221253
RIS,58.0,0.013839226029524046,0.049749553252956276
AIYL,60.0,0.003864232926283056,0.018951476131017962
VB02,43.0,0.00503709442523137,0.02693782152019957
AVKR,46.0,0.009171858681534629,0.020163785996381006
AVKL,79.0,0.031327849308138055,0.04254487393524971
AVFR,48.0,0.010849997113870375,0.024670137123680384
SABVL,27.0,3.460056664467016e-05,0.05040197602139961
FLPL,54.0,0.0025905813730533484,0.15029718669247233
FLPR,41.0,0.002493010820167749,0.11689080436840618
SABVR,17.0,0.00046731491740709856,0.031094587751065644
AVFL,61.0,0.004830523049704387,0.024253604270622012
AQR,52.0,0.003678283769253499,0.06866780303784693
RIFR,48.0,0.00723853638316069,0.05788785504098978
ADEL,51.0,0.018990327675279372,0.04000859739851929
VB01,45.0,0.005669354309669581,0.022690826815608866
ADER,43.0,0.01150027065211987,0.04896320604233242
DB02,61.0,0.0016469552732846346,0.04423707429939485
ADAR,35.0,0.013922426299877153,0.039148825087943435
ADAL,45.0,0.020165526091708914,0.058081325067542565
RIGR,53.0,0.00883838213533688,0.026129144798456027
RMGL,38.0,0.02746354994784989,0.020130472604693823
RMGR,33.0,0.028654229583421197,0.023624350350038716
RIFL,33.0,0.006530975841124602,0.033813890671041416
AVG,33.0,0.009172998270151729,0.04108583025206284
VA01,27.0,0.0,0.03447879690865194
SABD,31.0,0.0020964630442327696,0.05373361196692004
RIGL,62.0,0.03069989126947045,0.03656128557031065
DD01,109.0,0.0018154546870422761,0.049862404920880864
DB01,61.0,0.006466289117431479,0.03424639552908133
AS01,22.0,0.002324354543441534,0.04339285263057447
VD01,77.0,0.0024621408457818038,0.042861134116877225
DA01,52.0,0.0007932218033214027,0.0812013006685827
VD02,65.0,0.00204528160298931,0.030015323389736413
VA02,35.0,0.0015771398241195018,0.04769651677021291
VB03,44.0,0.0008890556511482324,0.027392068152099783
AS02,22.0,0.0014704754265720344,0.026218139558018154
DB03,81.0,0.004283424949329186,0.06311964252793112
DA02,36.0,0.0028909819265956717,0.04471285047307572
VD03,83.0,0.004735784225688703,0.053725509762464436
BDUR,28.0,0.0031324942545069355,0.026675489749017605
BDUL,21.0,0.004821852230014033,0.008447914467433449
VA03,52.0,0.00039741856090131977,0.05245703235660874
SDQR,22.0,0.0030773334190409185,0.022744802268687147
VB04,33.0,0.0006106593284424623,0.027323107447974386
VC01,44.0,0.0009356858124191168,0.021299418112935994
DD02,115.0,0.0014700588669862371,0.04937171500540486
AS03,28.0,0.0035516941950080407,0.0331375902638445
VD04,75.0,0.00010165765841117452,0.03990108431315949
DA03,59.0,0.0005607650729364453,0.08205535085864774
VA04,38.0,0.0017491838742733044,0.041669396609682836
VB05,36.0,0.0007033983684596275,0.024165591219075803
VC02,54.0,0.0013761720930193521,0.02643515565532011
DB04,33.0,0.002288688400064364,0.031130670784318713
AS04,19.0,0.0017105687898685057,0.022827040944868912
VD05,81.0,0.001879715212434206,0.047746418384347226
